IP,Ping,Nome host,Porte,Indirizzo MAC,Fornitore MAC
192.168.68.1,508 ms,[n/d],80.443,10:5A:95:2A:9F:D2,TP-Link
192.168.68.50,508 ms,[n/d],[n/d],1E:30:6C:02:46:BF,[n/d]
192.168.68.51,1043 ms,[n/d],[n/d],40:F5:20:EF:18:67,Espressif
192.168.68.52,2009 ms,[n/d],[n/d],0C:A6:4C:52:89:81,Hangzhou Ezviz Software
192.168.68.53,1019 ms,[n/d],[n/d],70:C9:32:2F:90:05,Dreame
192.168.68.54,509 ms,[n/d],[n/d],D4:F5:47:18:6F:FC,Google
192.168.68.56,510 ms,[n/d],[n/d],00:F6:20:75:B4:D9,Google
192.168.68.58,516 ms,Camera-da-letto-3.local,[n/d],AC:BC:B5:D4:71:61,Apple
192.168.68.59,2011 ms,[n/d],[n/d],44:BB:3B:56:2E:AF,Google
192.168.68.60,2008 ms,[n/d],[n/d],D8:A3:5C:B1:5A:7E,Samsung
192.168.68.61,632 ms,[n/d],[n/d],CC:8C:BF:DB:7C:84,Tuya Smart
192.168.68.62,510 ms,Camera-da-letto-2.local,[n/d],B0:67:B5:15:D4:34,Apple
192.168.68.63,2008 ms,[n/d],[n/d],38:8B:59:AE:FD:0D,Google
192.168.68.64,526 ms,[n/d],[n/d],A0:44:B7:17:84:62,PAX Computer
192.168.68.65,510 ms,Camera-da-letto.local,[n/d],A8:51:AB:04:81:09,Apple
192.168.68.66,507 ms,iPad-2.local,[n/d],96:38:13:03:67:1F,[n/d]
192.168.68.67,509 ms,[n/d],[n/d],A0:44:B7:4E:27:10,PAX Computer
192.168.68.70,575 ms,NARWAL_f90d1d.local,[n/d],80:9D:65:2C:D8:13,FN-LINK
192.168.68.71,535 ms,[n/d],[n/d],F2:79:7A:18:85:0B,[n/d]
192.168.68.72,2010 ms,[n/d],[n/d],AC:67:84:21:30:4B,Google
192.168.68.74,2009 ms,[n/d],[n/d],3A:53:67:21:47:EA,[n/d]
192.168.68.75,2008 ms,MacBook-Air-di-Nicole.local,[n/d],38:F9:D3:BF:FE:65,Apple
192.168.68.76,2008 ms,[n/d],[n/d],A0:85:FC:F8:F4:A5,Microsoft
192.168.68.77,653 ms,[n/d],[n/d],B0:4A:39:1B:84:CD,Beijing Roborock
192.168.68.78,598 ms,[n/d],[n/d],B8:21:1C:E4:93:7B,Apple
192.168.68.79,1010 ms,Iphone-di-alessandro.local,[n/d],F6:C9:51:DC:F9:58,[n/d]
192.168.68.80,1033 ms,[n/d],[n/d],28:6D:97:D5:0E:C9,SAMJIN
192.168.68.81,2010 ms,[n/d],[n/d],28:6D:97:D5:42:09,SAMJIN
192.168.68.82,1263 ms,[n/d],[n/d],28:6D:97:D0:FB:FE,SAMJIN
192.168.68.83,1053 ms,[n/d],[n/d],70:2C:1F:49:15:72,Wisol
192.168.68.84,552 ms,[n/d],80,CC:BA:BD:79:E7:65,TP-Link
192.168.68.85,692 ms,[n/d],[n/d],10:D5:61:25:36:86,Tuya Smart
192.168.68.87,2014 ms,[n/d],[n/d],6C:0C:9A:0E:A0:C4,Amazon
192.168.68.88,520 ms,[n/d],[n/d],D0:C9:07:AF:DF:D6,Private
192.168.68.89,2008 ms,Shelly2PMG3-E4B3232B99FC.local,80,E4:B3:23:2B:99:FC,Espressif
192.168.68.90,507 ms,MyCloud-2J1F4P.local,80,00:00:C0:44:A4:97,WESTERN DIGITAL
192.168.68.91,1274 ms,[n/d],8080,20:15:DE:64:D7:9E,Samsung
192.168.68.92,2009 ms,[n/d],[n/d],CC:A7:C1:4C:F0:CD,Google
192.168.68.94,753 ms,[n/d],80.443,54:D6:0D:F0:6F:EB,Hangzhou Ezviz Software
192.168.68.95,2017 ms,[n/d],80,08:02:8E:A3:DD:DC,NETGEAR
192.168.68.96,512 ms,[n/d],80,14:A7:8B:CE:F0:63,Zhejiang Dahua
192.168.68.97,2010 ms,[n/d],[n/d],AC:67:84:0D:8D:1A,Google
192.168.68.98,635 ms,[n/d],80,40:BD:32:6A:9B:F0,Texas Instruments
192.168.68.99,531 ms,[n/d],[n/d],BA:22:44:D8:72:B4,[n/d]
192.168.68.101,2008 ms,[n/d],[n/d],B0:4A:39:0A:61:37,Beijing Roborock
192.168.68.108,5 ms,MacBookPro-di-Alessandro-Gaburro.local,[n/d],C6:A3:2A:A3:A8:0F,[n/d]
192.168.68.200,1 ms,soc-01.local,2222,[n/d],Proxmox host (SOC-01)
192.168.68.201,1 ms,vm-homeassistant.local,[n/d],[n/d],Proxmox VM 100 (Home Assistant)
192.168.68.202,1 ms,ct-monitoring.local,3001,[n/d],Proxmox LXC 101 (Uptime Kuma)
192.168.68.203,1 ms,ct-scanner.local,9392,[n/d],Proxmox LXC 102 (Greenbone)
192.168.68.204,1 ms,vm-103-wazuh.local,443 1514 1515 55000,[n/d],Proxmox VM 103 (Wazuh)
192.168.68.205,1 ms,vmir.local,9000,BC:24:11:CE:2F:06,Proxmox VM 105 (TheHive 5.7.2 + Cortex 3)
192.168.68.206,1 ms,backup-srv.local,22 21 8080 23 3306,[n/d],Proxmox LXC 104 (OpenCanary honeypot)
